ticket_id,created_at,subject,description,category,priority,source,affected_service
TKT-0098,2026-06-03 11:24:00,Password reset needed,"Hello, I can sign in to my laptop but the application says I do not have access. I have a client deadline later today.",Account Access,Medium,Chat,Microsoft 365
TKT-0037,2026-08-18 13:12:00,Cannot sign in,Please help. The multifactor authentication code is not arriving on my phone. I have a client deadline later today.,Account Access,High,Portal,Identity Portal
TKT-0467,2026-07-23 20:43:00,License error,"Hello, I need the approved software installed for a new assignment. The problem began after the latest update.",Software,Medium,Phone,Finance Application
TKT-0022,2026-08-08 16:30:00,MFA code not working,Please help. My password expired and the reset page will not accept the new password. I am working remotely today.,Account Access,Low,Email,Time Entry
TKT-0452,2026-08-07 14:11:00,License error,The latest update repeatedly fails near the end of installation. The problem began after the latest update.,Software,Low,Phone,Finance Application
TKT-0264,2026-07-03 19:33:00,No network access,My laptop shows connected to Wi Fi but no internal sites will load. This started this morning.,Network and VPN,High,Chat,Project File Share
TKT-0052,2026-08-07 12:06:00,Cannot sign in,"IT team, My password expired and the reset page will not accept the new password. This started this morning.",Account Access,Medium,Email,Time Entry
TKT-0003,2026-06-01 08:37:00,Access denied,"Hi support, I entered the wrong password several times and my account is now locked. The problem began after the latest update.",Account Access,Low,Portal,Time Entry
TKT-0608,2026-06-01 21:16:00,Keyboard stopped working,"IT team, Several keys stopped responding after I returned from lunch. This started this morning.",Hardware,Medium,Chat,Docking Station
TKT-0401,2026-07-10 14:09:00,Mailbox is full,"Hello, A project attachment is being blocked when I try to send it. I have a client deadline later today.",Email,Low,Chat,Outlook
TKT-0272,2026-07-17 22:12:00,VPN will not connect,My laptop shows connected to Wi Fi but no internal sites will load. I am working remotely today.,Network and VPN,Low,Email,Remote Desktop
TKT-0002,2026-06-28 14:32:00,Cannot sign in,Please help. The multifactor authentication code is not arriving on my phone. The problem began after the latest update.,Account Access,Medium,Phone,Time Entry
TKT-0008,2026-06-02 12:25:00,Cannot sign in,"IT team, I can sign in to my laptop but the application says I do not have access. This started this morning.",Account Access,Medium,Phone,Project Portal
TKT-0449,2026-07-03 21:30:00,Mailbox is full,"IT team, A project attachment is being blocked when I try to send it. This started this morning.",Email,Low,Email,Exchange Online
TKT-0455,2026-06-22 05:21:00,Update failed,"Hello, The program displays an error message and will not open. I am working remotely today.",Software,Medium,Email,PDF Editor
TKT-0049,2026-06-21 11:48:00,Password reset needed,"Hello, I changed my password this morning and now my credentials are rejected. I am working remotely today.",Account Access,Medium,Portal,Microsoft 365
TKT-0557,2026-06-18 09:58:00,Software install request,"IT team, The latest update repeatedly fails near the end of installation. There is no error code displayed.",Software,Low,Chat,Finance Application
TKT-0044,2026-07-17 17:20:00,Cannot sign in,Please help. I entered the wrong password several times and my account is now locked. I am working remotely today.,Account Access,High,Phone,Time Entry
TKT-0683,2026-07-15 13:11:00,Laptop will not start,The second monitor is blank and is not shown in display settings. I have a client deadline later today.,Hardware,Medium,Email,Laptop
TKT-0508,2026-06-06 04:20:00,Application crashes,"Hi support, I need the approved software installed for a new assignment. Another team member can use the same service.",Software,Medium,Email,Project Management Tool
TKT-0625,2026-07-27 07:21:00,Battery drains quickly,"Hi support, USB devices disconnect whenever I connect through the docking station. The problem began after the latest update.",Hardware,Medium,Chat,Docking Station
TKT-0367,2026-07-04 01:55:00,Too much spam,Please help. Several expected emails are missing even though the senders received no error. This started this morning.,Email,Medium,Email,Email Gateway
TKT-0396,2026-06-08 20:25:00,Missing messages,"Hello, Several expected emails are missing even though the senders received no error. There is no error code displayed.",Email,Low,Chat,Exchange Online
TKT-0651,2026-08-13 21:52:00,Battery drains quickly,"Hi support, The battery now lasts less than one hour after a full charge. Another team member can use the same service.",Hardware,Medium,Portal,Docking Station
TKT-0577,2026-08-13 06:03:00,Software install request,The program displays an error message and will not open. The issue continues after a restart.,Software,Medium,Chat,PDF Editor
TKT-0582,2026-08-11 14:49:00,Software install request,Please help. The latest update repeatedly fails near the end of installation. The issue continues after a restart.,Software,Low,Phone,CAD Application
TKT-0637,2026-08-03 04:33:00,Battery drains quickly,The battery now lasts less than one hour after a full charge. I am working remotely today.,Hardware,High,Chat,Docking Station
TKT-0574,2026-07-19 15:41:00,Application crashes,Please help. The program says no license is available even though I used it yesterday. There is no error code displayed.,Software,Medium,Portal,CAD Application
TKT-0266,2026-07-14 00:27:00,VPN will not connect,Please help. Websites work but I cannot reach the shared project drive from home. The problem began after the latest update.,Network and VPN,Medium,Portal,Remote Desktop
TKT-0507,2026-08-24 23:03:00,Program will not open,"IT team, The program displays an error message and will not open. The issue continues after a restart.",Software,Low,Portal,Project Management Tool
TKT-0349,2026-06-11 00:20:00,Mailbox is full,Outlook reports that my mailbox has reached its storage limit. This started this morning.,Email,Medium,Email,Outlook
TKT-0422,2026-08-23 04:49:00,Attachment blocked,Please help. Several expected emails are missing even though the senders received no error. Please let me know what information you need.,Email,Low,Chat,Email Gateway
TKT-0543,2026-08-07 02:51:00,Program will not open,I need the approved software installed for a new assignment. Another team member can use the same service.,Software,Medium,Chat,PDF Editor
TKT-0026,2026-07-11 03:45:00,MFA code not working,Please help. I entered the wrong password several times and my account is now locked. There is no error code displayed.,Account Access,Low,Phone,Microsoft 365
TKT-0748,2026-06-23 19:14:00,Monitor not detected,"IT team, The battery now lasts less than one hour after a full charge. The problem began after the latest update.",Hardware,Medium,Chat,Battery
TKT-0710,2026-07-16 13:02:00,Keyboard stopped working,"IT team, USB devices disconnect whenever I connect through the docking station. There is no error code displayed.",Hardware,Low,Email,Monitor
TKT-0045,2026-08-09 05:54:00,Account locked,I entered the wrong password several times and my account is now locked. The problem began after the latest update.,Account Access,Medium,Portal,Time Entry
TKT-0579,2026-07-08 06:44:00,License error,"IT team, I need the approved software installed for a new assignment. Another team member can use the same service.",Software,Medium,Email,PDF Editor
TKT-0605,2026-07-31 17:06:00,Monitor not detected,"Hello, The second monitor is blank and is not shown in display settings. Another team member can use the same service.",Hardware,Medium,Chat,Battery
TKT-0828,2026-08-18 13:21:00,Lost company device,"Hi support, I received a password reset notification that I did not request. The issue continues after a restart.",Security,High,Portal,Security Operations
TKT-0442,2026-07-31 16:30:00,Missing messages,"IT team, Outlook reports that my mailbox has reached its storage limit. There is no error code displayed.",Email,Medium,Phone,Shared Mailbox
TKT-0263,2026-08-18 04:37:00,Wi Fi keeps dropping,Please help. My laptop shows connected to Wi Fi but no internal sites will load. There is no error code displayed.,Network and VPN,High,Chat,Project File Share
TKT-0607,2026-08-29 10:27:00,Laptop will not start,Please help. Several keys stopped responding after I returned from lunch. Please let me know what information you need.,Hardware,Medium,Portal,Laptop
TKT-0267,2026-08-22 03:22:00,Remote connection is slow,"Hi support, The VPN client stops while connecting and reports that the gateway is unavailable. Another team member can use the same service.",Network and VPN,High,Phone,Corporate VPN
TKT-0368,2026-08-30 14:19:00,Missing messages,"Hi support, I am receiving a large increase in unwanted messages today. The issue continues after a restart.",Email,High,Chat,Shared Mailbox
TKT-0106,2026-07-01 20:59:00,Cannot sign in,"Hi support, The multifactor authentication code is not arriving on my phone. I am working remotely today.",Account Access,High,Chat,Microsoft 365
TKT-0874,2026-06-10 11:33:00,Unexpected login alert,"IT team, My company phone is missing and may have been left in a public location. Please let me know what information you need.",Security,High,Email,Endpoint Protection
TKT-0058,2026-08-17 21:49:00,Cannot sign in,"Hello, I entered the wrong password several times and my account is now locked. Please let me know what information you need.",Account Access,Medium,Chat,Time Entry
TKT-0444,2026-07-15 08:55:00,Attachment blocked,Messages remain in the outbox and do not send to external recipients. There is no error code displayed.,Email,Medium,Email,Email Gateway
TKT-0475,2026-07-19 14:38:00,License error,"Hello, The program says no license is available even though I used it yesterday. The issue continues after a restart.",Software,Medium,Chat,Finance Application
TKT-0644,2026-07-25 05:54:00,Docking station issue,USB devices disconnect whenever I connect through the docking station. There is no error code displayed.,Hardware,Medium,Chat,Docking Station
TKT-0231,2026-06-16 02:32:00,VPN will not connect,"IT team, My laptop shows connected to Wi Fi but no internal sites will load. The problem began after the latest update.",Network and VPN,Medium,Email,Project File Share
TKT-0674,2026-07-30 04:01:00,Battery drains quickly,"Hi support, USB devices disconnect whenever I connect through the docking station. This started this morning.",Hardware,High,Email,Monitor
TKT-0010,2026-08-26 22:35:00,Account locked,"Hello, The multifactor authentication code is not arriving on my phone. I have a client deadline later today.",Account Access,Medium,Email,Project Portal
TKT-0077,2026-07-19 23:04:00,Account locked,"Hi support, I changed my password this morning and now my credentials are rejected. Another team member can use the same service.",Account Access,High,Email,Microsoft 365
TKT-0054,2026-06-22 22:44:00,Password reset needed,I changed my password this morning and now my credentials are rejected. This started this morning.,Account Access,Medium,Email,Time Entry
TKT-0880,2026-06-16 15:54:00,Unexpected login alert,"IT team, A security warning appeared after I opened a downloaded file. The problem began after the latest update.",Security,Critical,Chat,Security Operations
TKT-0114,2026-06-30 20:20:00,Cannot sign in,I changed my password this morning and now my credentials are rejected. The problem began after the latest update.,Account Access,High,Email,Time Entry
TKT-0238,2026-06-23 10:51:00,Wi Fi keeps dropping,"Hi support, The network connection is extremely slow when I open large files remotely. Another team member can use the same service.",Network and VPN,Low,Phone,Office Wi Fi
TKT-0033,2026-06-18 08:04:00,Password reset needed,My password expired and the reset page will not accept the new password. The issue continues after a restart.,Account Access,Low,Chat,Time Entry
TKT-0604,2026-08-26 10:27:00,Monitor not detected,USB devices disconnect whenever I connect through the docking station. Another team member can use the same service.,Hardware,High,Chat,Docking Station
TKT-0588,2026-07-06 16:59:00,License error,"Hi support, The latest update repeatedly fails near the end of installation. The problem began after the latest update.",Software,Medium,Portal,Project Management Tool
TKT-0761,2026-07-26 15:41:00,Possible malware warning,My company phone is missing and may have been left in a public location. The problem began after the latest update.,Security,High,Email,Endpoint Protection
TKT-0280,2026-06-30 16:49:00,No network access,"Hi support, Websites work but I cannot reach the shared project drive from home. This started this morning.",Network and VPN,Medium,Phone,Remote Desktop
TKT-0686,2026-06-09 17:56:00,Battery drains quickly,USB devices disconnect whenever I connect through the docking station. The problem began after the latest update.,Hardware,Medium,Portal,Monitor
TKT-0565,2026-08-02 17:52:00,Program will not open,"IT team, The latest update repeatedly fails near the end of installation. There is no error code displayed.",Software,High,Portal,PDF Editor
TKT-0354,2026-08-18 10:31:00,Mailbox is full,A project attachment is being blocked when I try to send it. Please let me know what information you need.,Email,Low,Portal,Shared Mailbox
TKT-0853,2026-08-29 03:21:00,Lost company device,"Hello, I received an email asking me to sign in through a link that does not look legitimate. Another team member can use the same service.",Security,Medium,Chat,Identity Portal
TKT-0094,2026-06-21 19:57:00,Access denied,The multifactor authentication code is not arriving on my phone. Another team member can use the same service.,Account Access,Low,Chat,Identity Portal
TKT-0423,2026-08-26 16:03:00,Too much spam,"Hi support, Several expected emails are missing even though the senders received no error. The issue continues after a restart.",Email,High,Email,Email Gateway
TKT-0550,2026-06-24 09:54:00,Software install request,Please help. The latest update repeatedly fails near the end of installation. There is no error code displayed.,Software,Medium,Phone,Finance Application
TKT-0621,2026-07-06 17:52:00,Docking station issue,"Hello, Several keys stopped responding after I returned from lunch. The issue continues after a restart.",Hardware,Medium,Phone,Docking Station
TKT-0661,2026-07-21 00:50:00,Keyboard stopped working,Please help. Several keys stopped responding after I returned from lunch. I am working remotely today.,Hardware,High,Portal,Monitor
TKT-0842,2026-08-08 16:25:00,Suspicious email received,"Hi support, A security warning appeared after I opened a downloaded file. There is no error code displayed.",Security,Critical,Portal,Identity Portal
TKT-0652,2026-07-01 07:17:00,Monitor not detected,"Hi support, The second monitor is blank and is not shown in display settings. I am working remotely today.",Hardware,Medium,Chat,Docking Station
TKT-0476,2026-06-08 00:10:00,License error,"Hi support, The application closes immediately after I open the project file. I am working remotely today.",Software,Medium,Email,Finance Application
TKT-0479,2026-07-27 20:43:00,Update failed,"Hi support, I need the approved software installed for a new assignment. This started this morning.",Software,Low,Email,CAD Application
TKT-0402,2026-08-01 18:21:00,Mailbox is full,"IT team, Messages remain in the outbox and do not send to external recipients. The problem began after the latest update.",Email,Low,Portal,Exchange Online
TKT-0273,2026-07-01 08:28:00,Remote connection is slow,"Hi support, My wireless connection disconnects every few minutes in the office. The problem began after the latest update.",Network and VPN,High,Phone,Office Wi Fi
TKT-0799,2026-07-15 18:07:00,Possible malware warning,Please help. I received a password reset notification that I did not request. Another team member can use the same service.,Security,Critical,Portal,Endpoint Protection
TKT-0633,2026-08-06 08:01:00,Monitor not detected,"IT team, USB devices disconnect whenever I connect through the docking station. I have a client deadline later today.",Hardware,Medium,Phone,Monitor
TKT-0421,2026-07-04 08:55:00,Too much spam,Several expected emails are missing even though the senders received no error. I have a client deadline later today.,Email,Low,Email,Shared Mailbox
TKT-0662,2026-06-30 03:51:00,Battery drains quickly,"Hi support, The laptop does not power on even when it is connected to the charger. There is no error code displayed.",Hardware,Medium,Email,Monitor
TKT-0456,2026-07-23 11:31:00,Update failed,Please help. The application closes immediately after I open the project file. This started this morning.,Software,High,Email,PDF Editor
TKT-0080,2026-06-22 09:52:00,Cannot sign in,I can sign in to my laptop but the application says I do not have access. The issue continues after a restart.,Account Access,Medium,Phone,Project Portal
TKT-0241,2026-07-27 14:32:00,Cannot reach shared drive,"Hello, My wireless connection disconnects every few minutes in the office. I am working remotely today.",Network and VPN,Medium,Phone,Remote Desktop
TKT-0836,2026-08-01 01:10:00,Unexpected login alert,"Hello, A security warning appeared after I opened a downloaded file. Please let me know what information you need.",Security,High,Email,Endpoint Protection
TKT-0279,2026-07-09 10:51:00,Remote connection is slow,"IT team, Websites work but I cannot reach the shared project drive from home. This started this morning.",Network and VPN,Low,Chat,Office Wi Fi
TKT-0069,2026-08-01 09:00:00,Password reset needed,"IT team, I entered the wrong password several times and my account is now locked. The problem began after the latest update.",Account Access,Medium,Chat,Project Portal
TKT-0639,2026-08-24 23:48:00,Battery drains quickly,"Hello, USB devices disconnect whenever I connect through the docking station. I am working remotely today.",Hardware,Medium,Email,Laptop
TKT-0081,2026-08-11 17:46:00,Access denied,I can sign in to my laptop but the application says I do not have access. The problem began after the latest update.,Account Access,Medium,Portal,Identity Portal
TKT-0050,2026-06-20 20:19:00,Account locked,"Hello, My password expired and the reset page will not accept the new password. The issue continues after a restart.",Account Access,Low,Phone,Project Portal
TKT-0845,2026-08-22 22:28:00,Unexpected login alert,"Hi support, I received an email asking me to sign in through a link that does not look legitimate. Another team member can use the same service.",Security,High,Chat,Identity Portal
TKT-0095,2026-08-04 14:58:00,Account locked,The multifactor authentication code is not arriving on my phone. I am working remotely today.,Account Access,Medium,Chat,Project Portal
TKT-0664,2026-07-21 20:23:00,Docking station issue,"IT team, The laptop does not power on even when it is connected to the charger. There is no error code displayed.",Hardware,Medium,Chat,Laptop
TKT-0357,2026-07-07 09:11:00,Mailbox is full,"Hi support, I am receiving a large increase in unwanted messages today. Another team member can use the same service.",Email,Low,Portal,Shared Mailbox
TKT-0743,2026-07-11 20:07:00,Keyboard stopped working,"IT team, The laptop does not power on even when it is connected to the charger. There is no error code displayed.",Hardware,Medium,Portal,Keyboard
TKT-0067,2026-07-07 17:10:00,Access denied,"Hello, I entered the wrong password several times and my account is now locked. There is no error code displayed.",Account Access,Medium,Portal,Time Entry
TKT-0434,2026-06-23 20:50:00,Too much spam,"Hello, Messages remain in the outbox and do not send to external recipients. Please let me know what information you need.",Email,High,Portal,Exchange Online
TKT-0032,2026-08-10 22:04:00,Password reset needed,Please help. I entered the wrong password several times and my account is now locked. Another team member can use the same service.,Account Access,Low,Email,Time Entry
TKT-0679,2026-07-03 18:45:00,Keyboard stopped working,"Hello, The battery now lasts less than one hour after a full charge. This started this morning.",Hardware,Medium,Email,Laptop
TKT-0537,2026-06-16 14:58:00,Program will not open,"Hi support, The latest update repeatedly fails near the end of installation. This started this morning.",Software,Medium,Chat,CAD Application
TKT-0234,2026-07-17 03:09:00,VPN will not connect,The VPN client stops while connecting and reports that the gateway is unavailable. The problem began after the latest update.,Network and VPN,Low,Phone,Remote Desktop
TKT-0268,2026-08-30 13:21:00,No network access,"Hi support, My laptop shows connected to Wi Fi but no internal sites will load. There is no error code displayed.",Network and VPN,Medium,Email,Corporate VPN
TKT-0461,2026-07-29 17:11:00,Update failed,"Hello, The latest update repeatedly fails near the end of installation. Please let me know what information you need.",Software,Medium,Chat,Project Management Tool
TKT-0247,2026-06-12 05:35:00,Remote connection is slow,"IT team, My wireless connection disconnects every few minutes in the office. Another team member can use the same service.",Network and VPN,Low,Phone,Project File Share
TKT-0257,2026-06-11 08:30:00,Cannot reach shared drive,My laptop shows connected to Wi Fi but no internal sites will load. There is no error code displayed.,Network and VPN,Medium,Phone,Corporate VPN
TKT-0090,2026-06-28 05:11:00,Access denied,"Hi support, I can sign in to my laptop but the application says I do not have access. The problem began after the latest update.",Account Access,Low,Portal,Time Entry
TKT-0672,2026-08-06 14:09:00,Monitor not detected,The laptop does not power on even when it is connected to the charger. I am working remotely today.,Hardware,High,Email,Monitor
TKT-0291,2026-08-23 05:06:00,Remote connection is slow,Websites work but I cannot reach the shared project drive from home. There is no error code displayed.,Network and VPN,Medium,Portal,Project File Share
TKT-0203,2026-08-19 05:57:00,Wi Fi keeps dropping,Please help. Websites work but I cannot reach the shared project drive from home. Please let me know what information you need.,Network and VPN,Medium,Portal,Office Wi Fi
TKT-0275,2026-06-09 23:34:00,No network access,"IT team, The VPN client stops while connecting and reports that the gateway is unavailable. I have a client deadline later today.",Network and VPN,Medium,Portal,Office Wi Fi
TKT-0573,2026-07-29 00:24:00,License error,"IT team, I need the approved software installed for a new assignment. The issue continues after a restart.",Software,Low,Chat,PDF Editor
TKT-0860,2026-06-20 03:46:00,Possible malware warning,"IT team, My company phone is missing and may have been left in a public location. Please let me know what information you need.",Security,Medium,Phone,Identity Portal
TKT-0766,2026-07-21 16:39:00,Lost company device,Please help. The account portal reported a login from a location I do not recognize. The issue continues after a restart.,Security,High,Phone,Email Gateway
TKT-0297,2026-06-15 17:16:00,No network access,"Hello, My laptop shows connected to Wi Fi but no internal sites will load. There is no error code displayed.",Network and VPN,Medium,Portal,Corporate VPN
TKT-0210,2026-08-15 02:25:00,VPN will not connect,"Hi support, The network connection is extremely slow when I open large files remotely. This started this morning.",Network and VPN,Medium,Chat,Remote Desktop
TKT-0205,2026-07-11 09:12:00,Remote connection is slow,"IT team, The VPN client stops while connecting and reports that the gateway is unavailable. I have a client deadline later today.",Network and VPN,Medium,Email,Corporate VPN
TKT-0043,2026-06-05 09:30:00,MFA code not working,"Hi support, I changed my password this morning and now my credentials are rejected. Another team member can use the same service.",Account Access,Medium,Email,Time Entry
TKT-0659,2026-06-13 16:10:00,Laptop will not start,USB devices disconnect whenever I connect through the docking station. I have a client deadline later today.,Hardware,High,Phone,Monitor
TKT-0593,2026-06-17 16:29:00,License error,Please help. I need the approved software installed for a new assignment. The problem began after the latest update.,Software,High,Portal,PDF Editor
TKT-0424,2026-07-26 14:09:00,Email not sending,"IT team, Messages remain in the outbox and do not send to external recipients. I am working remotely today.",Email,Low,Email,Email Gateway
TKT-0663,2026-08-25 15:50:00,Battery drains quickly,"Hello, USB devices disconnect whenever I connect through the docking station. Another team member can use the same service.",Hardware,High,Email,Battery
TKT-0075,2026-08-29 12:33:00,Cannot sign in,I changed my password this morning and now my credentials are rejected. There is no error code displayed.,Account Access,High,Email,Identity Portal
TKT-0804,2026-08-07 03:22:00,Suspicious email received,"Hello, The account portal reported a login from a location I do not recognize. I have a client deadline later today.",Security,Medium,Phone,Endpoint Protection
TKT-0528,2026-06-04 00:49:00,License error,"IT team, The program displays an error message and will not open. Another team member can use the same service.",Software,High,Phone,Project Management Tool
TKT-0274,2026-07-25 12:30:00,Cannot reach shared drive,Websites work but I cannot reach the shared project drive from home. The issue continues after a restart.,Network and VPN,Medium,Phone,Office Wi Fi
TKT-0758,2026-08-30 14:06:00,Unexpected login alert,"IT team, I received an email asking me to sign in through a link that does not look legitimate. There is no error code displayed.",Security,High,Phone,Identity Portal
TKT-0172,2026-08-12 22:19:00,Cannot reach shared drive,"Hi support, My wireless connection disconnects every few minutes in the office. The issue continues after a restart.",Network and VPN,High,Phone,Office Wi Fi
TKT-0334,2026-07-10 23:32:00,Email not sending,"Hi support, Messages remain in the outbox and do not send to external recipients. The problem began after the latest update.",Email,Medium,Phone,Exchange Online
TKT-0726,2026-08-09 04:37:00,Keyboard stopped working,The battery now lasts less than one hour after a full charge. There is no error code displayed.,Hardware,Medium,Chat,Laptop
TKT-0806,2026-08-25 22:48:00,Unusual password reset,"Hello, I received a password reset notification that I did not request. There is no error code displayed.",Security,Medium,Portal,Security Operations
TKT-0707,2026-06-26 18:53:00,Docking station issue,"Hi support, USB devices disconnect whenever I connect through the docking station. The problem began after the latest update.",Hardware,Low,Portal,Laptop
TKT-0586,2026-06-15 18:23:00,Application crashes,"IT team, The latest update repeatedly fails near the end of installation. I have a client deadline later today.",Software,Low,Portal,PDF Editor
TKT-0457,2026-08-04 18:54:00,Program will not open,"IT team, The application closes immediately after I open the project file. This started this morning.",Software,Medium,Email,Project Management Tool
TKT-0802,2026-07-19 15:12:00,Suspicious email received,"Hello, A security warning appeared after I opened a downloaded file. The issue continues after a restart.",Security,High,Portal,Identity Portal
TKT-0534,2026-08-15 02:58:00,Software install request,I need the approved software installed for a new assignment. The problem began after the latest update.,Software,Medium,Phone,Finance Application
TKT-0591,2026-07-22 11:02:00,Update failed,The program displays an error message and will not open. I have a client deadline later today.,Software,Low,Email,Project Management Tool
TKT-0393,2026-07-29 11:58:00,Mailbox is full,A project attachment is being blocked when I try to send it. This started this morning.,Email,Medium,Phone,Outlook
TKT-0499,2026-08-10 20:25:00,Software install request,The program displays an error message and will not open. The issue continues after a restart.,Software,Low,Phone,Project Management Tool
TKT-0057,2026-08-29 17:22:00,MFA code not working,"IT team, I entered the wrong password several times and my account is now locked. Another team member can use the same service.",Account Access,Low,Phone,Project Portal
TKT-0797,2026-07-14 12:57:00,Suspicious email received,"Hi support, The account portal reported a login from a location I do not recognize. Another team member can use the same service.",Security,High,Chat,Endpoint Protection
TKT-0391,2026-08-16 01:38:00,Too much spam,"Hello, I am receiving a large increase in unwanted messages today. Please let me know what information you need.",Email,High,Portal,Email Gateway
TKT-0072,2026-08-22 04:07:00,Account locked,"IT team, I entered the wrong password several times and my account is now locked. I have a client deadline later today.",Account Access,Low,Phone,Project Portal
TKT-0284,2026-07-28 00:40:00,VPN will not connect,"IT team, Websites work but I cannot reach the shared project drive from home. I am working remotely today.",Network and VPN,Medium,Email,Office Wi Fi
TKT-0305,2026-06-19 23:24:00,Mailbox is full,Please help. Outlook reports that my mailbox has reached its storage limit. The issue continues after a restart.,Email,High,Email,Exchange Online
TKT-0629,2026-06-03 06:16:00,Laptop will not start,The battery now lasts less than one hour after a full charge. There is no error code displayed.,Hardware,Medium,Portal,Laptop
TKT-0546,2026-07-28 13:44:00,License error,"Hello, The program says no license is available even though I used it yesterday. The problem began after the latest update.",Software,Medium,Chat,Project Management Tool
